key	source
001_suo	human
002_kate	human
003_zuvis	human
004_paukstis	human
005_karve	human
006_kiaule	human
007_pele	human
008_arklys	human
009_sparnas	human
010_gyvunas	human
011_traukinys	human
012_lektuvas	human
013_automobilis	human
014_sunkvezimis	human
015_dviratis	human
016_autobusas	human
017_valtis	human
018_laivas	human
019_padanga	human
020_benzinas	human
021_variklis	human
022_bilietas	human
023_transportas	human
024_miestas	human
025_namas	human
026_butas	human
027_gatve	human
028_kelias	human
029_oro_uostas	human
030_stotis	human
031_tiltas	human
032_viesbutis	human
033_restoranas	human
034_ukis	human
035_teismas	human
036_mokykla	human
037_biuras	human
038_kambarys	human
039_miestelis	human
040_universitetas	human
041_klubas	human
042_baras	human
043_parkas	human
044_stovykla	human
045_parduotuve	human
046_teatras	human
047_biblioteka	human
048_ligonine	human
049_baznycia	human
050_turgus	human
051_salis	human
052_pastatas	human
053_zeme	human
054_kosmosas	human
055_bankas	human
056_vieta	human
057_kepure	human
058_suknele	human
059_kostiumas	human
060_sijonas	human
061_marskiniai	human
062_marskineliai	human
063_kelnes	human
064_batai	human
065_kisene	human
066_paltas	human
067_deme	human
068_drabuziai	human
069_raudonas	human
070_zalias	human
071_melynas	azure-neural
072_geltonas	human
073_rudas	human
074_rozinis	human
075_oranzinis	human
076_juodas	human
077_baltas	human
078_pilkas	human
079_spalva	human
080_sunus	human
081_dukra	human
082_motina	human
083_tevas	human
084_tevai	human
085_kudikis	human
086_vyras	human
087_moteris	human
088_brolis	human
089_sesuo	human
090_seima	human
091_senelis	human
092_senele	human
093_vyras	human
094_zmona	human
095_karalius	human
096_karaliene	human
097_prezidentas	human
098_kaimynas	human
099_berniukas	human
100_mergaite	human
101_vaikas	human
102_suauges	human
103_zmogus	human
104_draugas	human
105_auka	human
106_zaidejas	human
107_sirgalius	human
108_minia	human
109_asmuo	human
110_mokytojas	human
111_studentas	human
112_advokatas	human
113_gydytojas	human
114_pacientas	human
115_padavejas	human
116_sekretorius	human
117_kunigas	human
118_policininkas	human
119_policija	human
120_kariuomene	human
121_kareivis	human
122_menininkas	human
123_autorius	human
124_vadovas	human
125_zurnalistas	human
126_aktorius	human
127_darbas	human
128_religija	azure-neural
129_dangus	azure-neural
130_pragaras	azure-neural
131_mirtis	azure-neural
132_vaistai	azure-neural
133_pinigai	azure-neural
134_doleris	azure-neural
135_banknotas	azure-neural
136_santuoka	azure-neural
137_vestuves	human
138_komanda	azure-neural
139_santykiai	azure-neural
140_rase	azure-neural
141_seksas	azure-neural
142_lytis	azure-neural
143_zmogzudyste	azure-neural
144_kalejimas	azure-neural
145_technologija	azure-neural
146_energija	azure-neural
147_karas	azure-neural
148_taika	azure-neural
149_puolimas	azure-neural
150_rinkimai	azure-neural
151_zurnalas	azure-neural
152_laikrastis	azure-neural
153_nuodai	azure-neural
154_ginklas	azure-neural
155_sportas	azure-neural
156_lenktynes	azure-neural
157_manksta	azure-neural
158_kamuolys	azure-neural
159_zaidimas	azure-neural
160_kaina	azure-neural
161_sutartis	azure-neural
162_narkotikas	azure-neural
163_zenklas	human
164_mokslas	azure-neural
165_dievas	azure-neural
166_grupe	human
167_daina	azure-neural
168_instrumentas	human
169_muzika	azure-neural
170_filmas	human
171_menas	azure-neural
172_kava	human
173_arbata	human
174_vynas	human
175_alus	human
176_sultys	human
177_vanduo	human
178_pienas	human
179_gerimas	human
180_kiausinis	human
181_suris	human
182_duona	human
183_sriuba	human
184_tortas	human
185_vistiena	human
186_kiauliena	human
187_jautiena	human
188_obuolys	human
189_bananas	human
190_apelsinas	human
191_citrina	human
192_kukuruzai	human
193_ryziai	human
194_aliejus	human
195_tepalas	human
196_sekla	human
197_peilis	human
198_saukstas	human
199_sakute	human
200_lekste	human
201_puodelis	human
202_pusryciai	human
203_pietus	human
204_vakariene	human
205_cukrus	human
206_druska	human
207_butelis	human
208_maistas	human
209_stalas	human
210_kede	human
211_lova	human
212_sapnas	azure-neural
213_langas	human
214_durys	human
215_miegamasis	human
216_virtuve	human
217_vonia	human
218_piestukas	human
219_rasiklis	human
220_nuotrauka	human
221_muilas	human
222_knyga	human
223_puslapis	human
224_raktas	human
225_dazai	human
226_laiskas	human
227_raide	azure-neural
228_rastelis	human
229_siena	human
230_popierius	human
231_grindys	human
232_lubos	human
233_stogas	human
234_baseinas	human
235_spyna	human
236_telefonas	human
237_sodas	human
238_kiemas	human
239_adata	human
240_krepsys	human
241_deze	human
242_dovana	human
243_kortele	human
244_ziedas	human
245_irankis	human
246_laikrodis	human
247_lempa	human
248_ventiliatorius	human
249_mobilusis_telefonas	human
250_tinklas	azure-neural
251_kompiuteris	human
252_programa	azure-neural
253_nesiojamasis_kompiuteris	human
254_ekranas	human
255_fotoaparatas	human
256_televizorius	human
257_radijas	human
258_galva	human
259_kaklas	human
260_veidas	human
261_barzda	human
262_plaukai	human
263_akis	human
264_burna	human
265_lupa	human
266_nosis	human
267_dantis	human
268_ausis	human
269_asara	human
270_liezuvis	human
271_nugara	human
272_kojos_pirstas	human
273_pirstas	human
274_peda	human
275_plastaka	human
276_koja	human
277_ranka	human
278_petys	human
279_sirdis	human
280_kraujas	human
281_smegenys	human
282_kelis	human
283_prakaitas	human
284_liga	azure-neural
285_kaulas	human
286_balsas	azure-neural
287_oda	human
288_kunas	human
289_jura	human
290_vandenynas	human
291_upe	human
292_kalnas	human
293_lietus	human
294_sniegas	human
295_medis	human
296_saule	human
297_menulis	human
298_pasaulis	azure-neural
299_zeme	human
300_miskas	human
301_dangus	human
302_augalas	human
303_vejas	human
304_zeme	human
305_gele	human
306_slenis	human
307_saknis	human
308_ezeras	human
309_zvaigzde	human
310_zole	human
311_lapas	human
312_oras	azure-neural
313_smelis	human
314_papludimys	human
315_banga	human
316_ugnis	human
317_ledas	human
318_sala	human
319_kalva	human
320_karstis	azure-neural
321_gamta	human
322_stiklas	human
323_metalas	human
324_plastikas	human
325_mediena	human
326_akmuo	human
327_deimantas	human
328_molis	human
329_dulkes	human
330_auksas	human
331_varis	human
332_sidabras	human
333_medziaga	human
