#,category,english,type,flags,depictable,subject_phrase_EN,lithuanian_TARGET,lt_pron,gender,card_text,notes,level
1,Animal,dog,N,,yes,a single dog standing alert in side profile,šuo,šúo,M,,,A1
2,Animal,cat,N,,yes,a single domestic cat in side profile,katė,katė́,F,,,A1
3,Animal,fish,N,,yes,a single freshwater fish (a carp),žuvis,žuvís,F,,,A1
4,Animal,bird,N,,yes,a single bird in side profile,paukštis,paúkštis,M,,,A1
5,Animal,cow,N,,yes,a single dairy cow in side profile,karvė,kárvė,F,,,A1
6,Animal,pig,N,,yes,a single farm pig,kiaulė,kiaúlė,F,,,A1
7,Animal,mouse,N,,yes,a single house mouse,pelė,pelė́,F,,,A1
8,Animal,horse,N,,yes,a single working horse in side profile,arklys,arklýs,M,,,A1
9,Animal,wing,N,,yes,a bird's outstretched wing,sparnas,spárnas,M,,,A1
10,Animal,animal,N,categoryC,category-multi,"a specimen chart of three common animals — a dog, a cat, and a fish — in a row",gyvūnas,gyvū́nas,M,,,A1
11,Transportation,train,N,,yes,a passenger train with locomotive and one carriage,traukinys,traukinýs,M,,,A1
12,Transportation,plane,N,,yes,a passenger airplane,lėktuvas,lėktúvas,M,,,A1
13,Transportation,car,N,,yes,a compact 1970s sedan car,automobilis,automobílis,M,,,A1
14,Transportation,truck,N,,yes,a flatbed cargo truck,sunkvežimis,sunkvežímis,M,,,A1
15,Transportation,bicycle,N,,yes,a bicycle,dviratis,dvíratis,M,,,A1
16,Transportation,bus,N,,yes,a city bus,autobusas,autobúsas,M,,,A1
17,Transportation,boat,N,,yes,a small rowing boat,valtis,váltis,F,,,A1
18,Transportation,ship,N,,yes,a cargo ship,laivas,laívas,M,,,A1
19,Transportation,tire,N,,yes,a rubber road tire,padanga,padangá,F,,stress: CHECK,A1
20,Transportation,gasoline,N,,yes,a fuel canister and a pump nozzle,benzinas,benzínas,M,,,A1
21,Transportation,engine,N,,yes,an automobile engine block,variklis,varíklis,M,,,A1
22,Transportation,train ticket,N,,yes,a small blank paper train ticket,bilietas,bílietas,M,,,A1
23,Transportation,transportation,N,categoryC,category-multi,"a chart of transport modes — a bus, a truck, and a bicycle — in side profile",transportas,tránsportas,M,,,A1
24,Location,city,N,,yes,a busy city street panorama — crowds of pedestrians and cars among tall mid-rise buildings,miestas,miéstas,M,,,A1
25,Location,house,N,,yes,a single modest house from the front,namas,námas,M,,,A1
26,Location,apartment,N,,yes,a large apartment block with one apartment unit indicated by an arrow,butas,bútas,M,,,A1
27,Location,street,N,,yes,a straight city street with pavement and lampposts,gatvė,gátvė,F,,,A1
28,Location,road,N,,yes,a country road running through fields,kelias,kélias,M,,,A1
29,Location,airport,N,,yes,an airport terminal building with an airplane behind it,oro uostas,óro uóstas,M,,,A1
30,Location,train station,N,,yes,a railway station building with a platform,stotis,stotís,F,,,A1
31,Location,bridge,N,,yes,a river bridge,tiltas,tíltas,M,,,A1
32,Location,hotel,N,,yes,a hotel building with a doorman and an arriving guest carrying a suitcase,viešbutis,viéšbutis,M,,,A1
33,Location,restaurant,N,,yes,a small restaurant with a glimpse of the dining room,restoranas,restoránas,M,,,A1
34,Location,farm,N,,yes,a farmstead with a barn and a field,ūkis,ū́kis,M,,,A1
35,Location,court,N,,yes,"a courtroom with a judge at the raised bench, wooden gavel in hand",teismas,teísmas,M,,,A1
36,Location,school,N,,yes,a schoolhouse building with young children with satchels arriving at the door,mokykla,mokyklá,F,,,A1
37,Location,office,N,,yes,"an office room with desks, clerks in everyday clothes at typewriters and telephones",biuras,biúras,M,,,A1
38,Location,room,N,,yes,a plain empty room seen from a doorway,kambarys,kambarýs,M,,,A1
39,Location,town,N,,yes,"a small town main square of low wooden houses around a cobbled square, a modest church spire visible far in the distance behind the rooftops",miestelis,miestélis,M,,,A1
40,Location,university,N,,yes,"a university main building with a columned portico, young adult students with books on the steps",universitetas,universitétas,M,,,A1
41,Location,club,N,,yes,young people dancing in a club hall in the evening,klubas,klúbas,M,,,A1
42,Location,bar,N,,yes,a small bar interior with a counter,baras,báras,M,,,A1
43,Location,park,N,,yes,"a public park with paths, benches and trees",parkas,párkas,M,,,A1
44,Location,camp,N,,yes,a campsite with tents,stovykla,stovyklá,F,,,A1
45,Location,store/shop,N,,yes,a small shop with its storefront,parduotuvė,parduotúvė,F,,,A1
46,Location,theater,N,,yes,a theatre building with a columned facade,teatras,teátras,M,,,A1
47,Location,library,N,,yes,a library building,biblioteka,biblioteká,F,,,A1
48,Location,hospital,N,,yes,a hospital building with an ambulance at the entrance,ligoninė,ligóninė,F,,,A1
49,Location,church,N,,yes,a village church with a tower,bažnyčia,bažnýčia,F,,,A1
50,Location,market,N,,yes,an open-air market with stalls,turgus,túrgus,M,,,A1
51,Location,country,N,,yes,"a wall map of one whole country, its national border drawn as a single bold outline, a small Lithuanian tricolor planted at its centre",šalis,šalís,F,,šalis=nation; not 'countryside',A1
