id,phase,category,english,LT_proposed,LT_ok_or_fix,accent,accent_FILL,type,form_derived,form_confidence,form_ok_or_fix,comment
A2-0187,P-B,Adverbs,a little,mažai,,mãžai,,ADV (—),,—,,
A2-0186,P-B,Adverbs,a lot,daug,,daũg,,ADV (—),,—,,
A2-0177,P-B,Adverbs,again,vėl,,vė̃l,,ADV (—),,—,,
A2-0174,P-B,Adverbs,already,jau,,jaũ,,ADV (—),,—,,
A2-0171,P-B,Adverbs,always,visada,,visadà,,ADV (—),,—,,
A2-0185,P-B,Adverbs,badly,blogai,,blõgai,,ADV (—),,—,,
A2-0192,P-B,Adverbs,early,anksti,,ankstì,,ADV (—),,—,,
A2-0189,P-B,Adverbs,enough,pakankamai,,,<-- kirtis.info,ADV (—),,—,,
A2-0180,P-B,Adverbs,everywhere,visur,,visur̃,,ADV (—),,—,,
A2-0178,P-B,Adverbs,here,čia,,čià,,ADV (—),,—,,
A2-0193,P-B,Adverbs,late,vėlai,,vėlaĩ,,ADV (—),,—,,
A2-0191,P-B,Adverbs,later,vėliau,,vėliaũ,,ADV (—),,—,,
A2-0167,P-B,Adverbs,maybe,gal,,gál,,ADV (—),,—,,
A2-0172,P-B,Adverbs,never,niekada,,niekadà,,ADV (—),,—,,
A2-0181,P-B,Adverbs,nowhere,niekur,,niekur̃,,ADV (—),,—,,
A2-0169,P-B,Adverbs,often,dažnai,,dažnaĩ,,ADV (—),,—,,
A2-0176,P-B,Adverbs,only,tik,,tìk,,ADV (—),,—,,
A2-0170,P-B,Adverbs,rarely,retai,,retaĩ,,ADV (—),,—,,
A2-0168,P-B,Adverbs,really,tikrai,,tikraĩ,,ADV (—),,—,,
A2-0183,P-B,Adverbs,separately,atskirai,,,<-- kirtis.info,ADV (—),,—,,
A2-0173,P-B,Adverbs,sometimes,kartais,,kar̃tais,,ADV (—),,—,,
A2-0190,P-B,Adverbs,soon,greitai,,greĩtai,,ADV (—),,—,,
A2-0175,P-B,Adverbs,"still, yet",dar,,dár,,ADV (—),,—,,
A2-0179,P-B,Adverbs,there,ten,,,<-- kirtis.info,ADV (—),,—,,
A2-0182,P-B,Adverbs,together,kartu,,kartù,,ADV (—),,—,,
A2-0166,P-B,Adverbs,very,labai,,labaĩ,,ADV (—),,—,,
A2-0184,P-B,Adverbs,well,gerai,,geraĩ,,ADV (—),,—,,
A2-0164,P-B,Conjunctions,also,taip pat,,,,CONJ (—),,—,,
A2-0162,P-B,Conjunctions,although,nors,,nórs,,CONJ (—),,—,,
A2-0154,P-B,Conjunctions,and,ir,,ir̃,,CONJ (—),,—,,
A2-0157,P-B,Conjunctions,because,nes,,nès,,CONJ (—),,—,,
A2-0155,P-B,Conjunctions,but,bet,,bèt,,CONJ (—),,—,,
A2-0163,P-B,Conjunctions,however,tačiau,,tačiaũ,,CONJ (—),,—,,
A2-0160,P-B,Conjunctions,if,jei,,jéi,,CONJ (—),,—,,
A2-0156,P-B,Conjunctions,or,arba,,arbà,,CONJ (—),,—,,
A2-0159,P-B,Conjunctions,that (conj),kad,,kàd,,CONJ (—),,—,,
A2-0158,P-B,Conjunctions,therefore,todėl,,todė̃l,,CONJ (—),,—,,
A2-0161,P-B,Conjunctions,when (conj),kai,,kaĩ,,CONJ (—),,—,,
A2-0165,P-B,Conjunctions,whether,ar,,ar̃,,CONJ (—),,—,,
A2-0199,P-B,Modal & core verbs,"must, have to",privalėti,,privalė́ti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0194,P-B,Modal & core verbs,to be,būti,,bū́ti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0196,P-B,Modal & core verbs,"to be able, can",galėti,,galė́ti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0207,P-B,Modal & core verbs,to become,tapti,,tàpti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0202,P-B,Modal & core verbs,to begin,pradėti,,pradė́ti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0204,P-B,Modal & core verbs,to continue,tęsti,,tę̃sti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0203,P-B,Modal & core verbs,to finish,baigti,,baĩgti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0195,P-B,Modal & core verbs,to have,turėti,,turė́ti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0200,P-B,Modal & core verbs,to intend,ketinti,,ketìnti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0205,P-B,Modal & core verbs,to like,patikti,,patìkti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0206,P-B,Modal & core verbs,to love/like doing,mėgti,,mė́gti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0198,P-B,Modal & core verbs,to need (impersonal),reikėti,,reikė́ti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0208,P-B,Modal & core verbs,to seem,atrodyti,,atródyti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
A2-0201,P-B,Modal & core verbs,to try,bandyti,,bandýti,,V (3sg·past),,"VERB — 3sg + past, e.g. dirba / dirbo",,
