id,phase,category,english,LT_proposed,collides_with,KEEP_or_DROP,comment
A2-0832,P-F,Abstract,appointment (meeting),susitikimas,dup within queue (A2-0243),,
A2-0830,P-F,Abstract,date (calendar),data,LT already in deck,,
A2-0863,P-F,Abstract,half (portion),pusė,LT already in deck,,
A2-0563,P-F,Adjectives,cheap (inexpensive),nebrangus,EN already in deck,,
A2-0522,P-F,Adjectives,difficult,sunkus (užduotis),LT already in deck,,
A2-0523,P-F,Adjectives,easy,lengvas (užduotis),LT already in deck,,
A2-0532,P-F,Adjectives,open (adj),atidarytas,EN already in deck,,
A2-0561,P-F,Adjectives,quiet (calm),tylus (ramus),LT already in deck,,
A2-0188,P-B,Adverbs,too (excessively),per,dup within queue (A2-0144),,
A2-0607,P-F,Body,blood,kraujas,LT already in deck,,
A2-0596,P-F,Body,face,veidas,LT already in deck,,
A2-0598,P-F,Body,tooth,dantis,LT already in deck,,
A2-0610,P-F,Body,voice,balsas,LT already in deck,,
A2-0711,P-F,Clothing,hat (winter),kepurė (žieminė),LT already in deck,,
A2-0720,P-F,Clothing,ring,žiedas,LT already in deck,,
A2-0721,P-F,Clothing,watch (wrist),laikrodis (rankinis),LT already in deck,,
A2-0924,P-G,Core patterns,What time is it?,Kiek valandų?,dup within queue (A2-0379),,
A2-0081,P-A,Electronics,phone,telefonas,LT already in deck,,
A2-0691,P-F,Food,beer,alus,LT already in deck,,
A2-0103,P-A,Food,bill (restaurant),sąskaita,EN already in deck,,
A2-0097,P-A,Food,breakfast,pusryčiai,LT already in deck,,
A2-0687,P-F,Food,cheese,sūris,LT already in deck,,
A2-0099,P-A,Food,dinner,vakarienė,LT already in deck,,
A2-0678,P-F,Food,egg,kiaušinis,LT already in deck,,
A2-0689,P-F,Food,juice,sultys,LT already in deck,,
A2-0098,P-A,Food,lunch,pietūs,LT already in deck,,
A2-0682,P-F,Food,salt,druska,LT already in deck,,
A2-0669,P-F,Food,soup,sriuba,LT already in deck,,
A2-0681,P-F,Food,sugar,cukrus,LT already in deck,,
A2-0690,P-F,Food,tea,arbata,LT already in deck,,
A2-0692,P-F,Food,wine,vynas,LT already in deck,,
A2-0879,P-G,Formulas,Yes / no,Taip / Ne,LT already in deck,,
A2-0908,P-G,Getting by,I'm lost,Aš pasiklydau,dup within queue (A2-0386),,
A2-0088,P-A,Home,bag,krepšys,LT already in deck,,
A2-0621,P-F,Home,ceiling,lubos,LT already in deck,,
A2-0622,P-F,Home,corner,kampas,LT already in deck,,
A2-0611,P-F,Home,"flat, apartment",butas,LT already in deck,,
A2-0612,P-F,Home,floor (storey),aukštas,LT already in deck,,
A2-0616,P-F,Home,garden,sodas,LT already in deck,,
A2-0614,P-F,Home,lift,liftas,EN already in deck,,
A2-0619,P-F,Home,roof,stogas,LT already in deck,,
A2-0632,P-F,Home,soap,muilas,LT already in deck,,
A2-0620,P-F,Home,wall,siena,LT already in deck,,
A2-0617,P-F,Home,yard,kiemas,LT already in deck,,
A2-0646,P-F,Location,bridge (city),tiltas,LT already in deck,,
A2-0657,P-F,Location,church (building),bažnyčia,LT already in deck,,
A2-0648,P-F,Location,market,turgus,LT already in deck,,
A2-0082,P-A,Location,shop,parduotuvė,LT already in deck,,
A2-0663,P-F,Location,sign (road),kelio ženklas,EN already in deck,,
A2-0655,P-F,Location,swimming pool,baseinas,LT already in deck,,
A2-0867,P-F,Money & admin,banknote,banknotas,LT already in deck,,
A2-0757,P-F,Nature,chicken,višta,EN already in deck,,
A2-0754,P-F,Nature,cow,karvė,LT already in deck,,
A2-0736,P-F,Nature,forest,miškas,LT already in deck,,
A2-0749,P-F,Nature,grass,žolė,LT already in deck,,
A2-0739,P-F,Nature,hill,kalva,LT already in deck,,
A2-0741,P-F,Nature,island,sala,LT already in deck,,
A2-0740,P-F,Nature,mountain,kalnas,LT already in deck,,
A2-0766,P-F,Nature,mouse,pelė,LT already in deck,,
A2-0747,P-F,Nature,root,šaknis,LT already in deck,,
A2-0748,P-F,Nature,seed,sėkla,LT already in deck,,
A2-0083,P-A,Nature,weather,oras,LT already in deck,,
A2-0577,P-F,People,baby,kūdikis,LT already in deck,,
A2-0575,P-F,People,boy,berniukas,LT already in deck,,
A2-0576,P-F,People,girl,mergaitė,LT already in deck,,
A2-0580,P-F,People,grandfather,senelis,LT already in deck,,
A2-0579,P-F,People,grandmother,močiutė,EN already in deck,,
A2-0593,P-F,People,group,grupė,LT already in deck,,
A2-0586,P-F,People,husband,vyras (sutuoktinis),LT already in deck,,
A2-0573,P-F,People,man,vyras,LT already in deck,,
A2-0587,P-F,People,wife,žmona,LT already in deck,,
A2-0574,P-F,People,woman,moteris,LT already in deck,,
A2-0153,P-B,Prepositions,after,po,dup within queue (A2-0141),,
A2-0134,P-B,Pronouns,nothing,niekas (nieko),dup within queue (A2-0131),,
A2-0133,P-B,Pronouns,something,kažkas (daiktas),dup within queue (A2-0130),,
A2-0109,P-B,Question words,what,kas,dup within queue (A2-0108),,
A2-0092,P-A,Society,letter (post),laiškas,LT already in deck,,
A2-0091,P-A,Society,map,žemėlapis,LT already in deck,,
A2-0726,P-F,Transportation,lorry,sunkvežimis,LT already in deck,,
A2-0465,P-F,Verbs,to build,statyti,LT already in deck,,
A2-0467,P-F,Verbs,to change (alter),keisti,dup within queue (A2-0275),,
A2-0476,P-F,Verbs,to close,uždaryti,LT already in deck,,
A2-0489,P-F,Verbs,to count,skaičiuoti,LT already in deck,,
A2-0480,P-F,Verbs,to cut,pjauti,LT already in deck,,
A2-0469,P-F,Verbs,to grow,augti,LT already in deck,,
A2-0420,P-F,Verbs,to lift,kelti,LT already in deck,,
A2-0514,P-F,Verbs,to lose (a game),pralaimėti,LT already in deck,,
A2-0427,P-F,Verbs,to say,sakyti,LT already in deck,,
A2-0422,P-F,Verbs,to turn (rotate),sukti,LT already in deck,,
A2-0513,P-F,Verbs,to win,laimėti,LT already in deck,,
A2-0790,P-F,Work & culture,artist,dailininkas,EN already in deck,,
A2-0785,P-F,Work & culture,cook (chef),virėjas,EN already in deck,,
A2-0787,P-F,Work & culture,driver (job),vairuotojas (profesija),dup within queue (A2-0729),,
A2-0810,P-F,Work & culture,film,filmas,LT already in deck,,
A2-0817,P-F,Work & culture,game,žaidimas,LT already in deck,,
A2-0822,P-F,Work & culture,gift,dovana,LT already in deck,,
A2-0798,P-F,Work & culture,pencil,pieštukas,LT already in deck,,
A2-0814,P-F,Work & culture,photograph,nuotrauka,LT already in deck,,
A2-0809,P-F,Work & culture,song,daina,LT already in deck,,
A2-0818,P-F,Work & culture,sport,sportas,LT already in deck,,
A2-0786,P-F,Work & culture,waiter,padavėjas,LT already in deck,,
