id,group,category,english,LT_proposed,LT_ok_or_fix,accent,accent_FILL,note_for_card,comment
A2-0108,1 · QUESTION WORDS,Question words,who,kas,,kàs,,question word — cloze sentence card,
A2-0110,1 · QUESTION WORDS,Question words,where,kur,,kur̃,,question word — cloze sentence card,
A2-0111,1 · QUESTION WORDS,Question words,when,kada,,kadà,,question word — cloze sentence card,
A2-0112,1 · QUESTION WORDS,Question words,how,kaip,,kaĩp,,question word — cloze sentence card,
A2-0113,1 · QUESTION WORDS,Question words,why,kodėl,,kodė̃l,,question word — cloze sentence card,
A2-0114,1 · QUESTION WORDS,Question words,how much/many,kiek,,ki̇́ek,,question word — cloze sentence card,
A2-0115,1 · QUESTION WORDS,Question words,what kind of,koks,,kóks,,question word — cloze sentence card,
A2-0116,1 · QUESTION WORDS,Question words,which,kuris,,kurìs,,question word — cloze sentence card,
A2-0117,1 · QUESTION WORDS,Question words,whose,kieno,,,<-- kirtis.info,question word — cloze sentence card,
A2-0928,2 · A1 PHRASES & SENTENCES,Core patterns,How much does the ticket cost?,Kiek kainuoja bilietas?,,,,kainuoti + nominative,
A2-0911,2 · A1 PHRASES & SENTENCES,Core patterns,I am from Lithuania,Aš esu iš Lietuvos,,,,būti + iš + genitive,
A2-0927,2 · A1 PHRASES & SENTENCES,Core patterns,I am going home,Einu namo,,,,"namo = homewards, adverbial",
A2-0913,2 · A1 PHRASES & SENTENCES,Core patterns,I am twenty years old,Man dvidešimt metų,,,,age uses the dative: MAN + number,
A2-0918,2 · A1 PHRASES & SENTENCES,Core patterns,I can speak a little,Galiu truputį kalbėti,,,,galėti + infinitive,
A2-0915,2 · A1 PHRASES & SENTENCES,Core patterns,I don't have time,Neturiu laiko,,,,negation takes the GENITIVE,
A2-0929,2 · A1 PHRASES & SENTENCES,Core patterns,"I don't understand, sorry","Nesuprantu, atsiprašau",,,,negation prefix ne-,
A2-0914,2 · A1 PHRASES & SENTENCES,Core patterns,I have a brother,Aš turiu brolį,,,,turėti + accusative,
A2-0920,2 · A1 PHRASES & SENTENCES,Core patterns,I like this city,Man patinka šis miestas,,,,impersonal: MAN patinka + nominative,
A2-0912,2 · A1 PHRASES & SENTENCES,Core patterns,I live in Vilnius,Aš gyvenu Vilniuje,,,,locative case,
A2-0919,2 · A1 PHRASES & SENTENCES,Core patterns,I need water,Man reikia vandens,,,,impersonal: MAN reikia + genitive,
A2-0916,2 · A1 PHRASES & SENTENCES,Core patterns,I want to eat,Noriu valgyti,,,,modal + infinitive,
A2-0917,2 · A1 PHRASES & SENTENCES,Core patterns,I would like coffee,Norėčiau kavos,,,,polite conditional + genitive,
A2-0923,2 · A1 PHRASES & SENTENCES,Core patterns,It is cold today,Šiandien šalta,,,,"impersonal weather, no subject",
A2-0925,2 · A1 PHRASES & SENTENCES,Core patterns,It is three o'clock,Trečia valanda,,,,ordinal + valanda,
A2-0910,2 · A1 PHRASES & SENTENCES,Core patterns,My name is Dainius,Mano vardas Dainius,,,,pattern: Mano vardas + name,
A2-0922,2 · A1 PHRASES & SENTENCES,Core patterns,There is a shop here,Čia yra parduotuvė,,,,yra = there is,
A2-0921,2 · A1 PHRASES & SENTENCES,Core patterns,This is my house,Tai mano namas,,,,tai + nominative,
A2-0926,2 · A1 PHRASES & SENTENCES,Core patterns,Where are you going?,Kur tu eini?,,,,present tense 2sg,
A2-0889,2 · A1 PHRASES & SENTENCES,Formulas,Bon appétit,Skanaus,,,<-- kirtis.info,LT proposed — verify,
A2-0888,2 · A1 PHRASES & SENTENCES,Formulas,Cheers!,Į sveikatą!,,,,LT proposed — verify,
A2-0891,2 · A1 PHRASES & SENTENCES,Formulas,Congratulations!,Sveikinu!,,,<-- kirtis.info,LT proposed — verify,
A2-0880,2 · A1 PHRASES & SENTENCES,Formulas,"Excuse me, please…","Atsiprašau, prašau…",,,,LT proposed — verify,
A2-0892,2 · A1 PHRASES & SENTENCES,Formulas,Get well soon,Pasveik greičiau,,,,LT proposed — verify,
A2-0895,2 · A1 PHRASES & SENTENCES,Formulas,Good luck on the trip,Geros kelionės,,,,LT proposed — verify,
A2-0887,2 · A1 PHRASES & SENTENCES,Formulas,Good luck!,Sėkmės!,,,<-- kirtis.info,LT proposed — verify,
A2-0890,2 · A1 PHRASES & SENTENCES,Formulas,Happy birthday!,Su gimtadieniu!,,,,LT proposed — verify,
A2-0894,2 · A1 PHRASES & SENTENCES,Formulas,Have a nice day,Geros dienos,,,,LT proposed — verify,
A2-0885,2 · A1 PHRASES & SENTENCES,Formulas,Here you are,Prašom,,,<-- kirtis.info,LT proposed — verify,
A2-0881,2 · A1 PHRASES & SENTENCES,Formulas,I'm sorry,Man gaila,,,,LT proposed — verify,
A2-0884,2 · A1 PHRASES & SENTENCES,Formulas,Just a moment,Akimirką,,,<-- kirtis.info,LT proposed — verify,
A2-0882,2 · A1 PHRASES & SENTENCES,Formulas,No problem,Nieko tokio,,,,LT proposed — verify,
A2-0883,2 · A1 PHRASES & SENTENCES,Formulas,Of course,Žinoma,,,<-- kirtis.info,LT proposed — verify,
A2-0893,2 · A1 PHRASES & SENTENCES,Formulas,See you tomorrow,Iki rytojaus,,,,LT proposed — verify,
A2-0886,2 · A1 PHRASES & SENTENCES,Formulas,Welcome!,Sveiki atvykę!,,,,LT proposed — verify,
A2-0901,2 · A1 PHRASES & SENTENCES,Getting by,A little,Truputį,,,<-- kirtis.info,LT proposed — verify,
A2-0907,2 · A1 PHRASES & SENTENCES,Getting by,Call a doctor!,Iškvieskite gydytoją!,,,,LT proposed — verify,
A2-0905,2 · A1 PHRASES & SENTENCES,Getting by,How do you say … in Lithuanian?,Kaip lietuviškai …?,,,,LT proposed — verify,
A2-0899,2 · A1 PHRASES & SENTENCES,Getting by,How much is it?,Kiek tai kainuoja?,,,,LT proposed — verify,
A2-0900,2 · A1 PHRASES & SENTENCES,Getting by,I don't speak Lithuanian,Nekalbu lietuviškai,,,,LT proposed — verify,
A2-0906,2 · A1 PHRASES & SENTENCES,Getting by,I need help,Man reikia pagalbos,,,,LT proposed — verify,
A2-0902,2 · A1 PHRASES & SENTENCES,Getting by,Please repeat,"Pakartokite, prašau",,,,LT proposed — verify,
A2-0904,2 · A1 PHRASES & SENTENCES,Getting by,What does it mean?,Ką tai reiškia?,,,,LT proposed — verify,
A2-0896,2 · A1 PHRASES & SENTENCES,Getting by,What is this?,Kas tai?,,,,LT proposed — verify,
A2-0909,2 · A1 PHRASES & SENTENCES,Getting by,Where can I find…?,Kur galiu rasti…?,,,,LT proposed — verify,
