id,category,english,LT_proposed,LT_ok_or_fix,accent,accent_FILL,type,form_derived,form_confidence,form_ok_or_fix,card_text_plan,comment
A2-0101,Food,dessert,desertas,,desèrtas,<-- from kirtis.info,N (gen.sg),deserto,rule,,,
A2-0102,Food,menu,meniu,,meniù,,N (gen.sg),meniù,unknown ending — needs your form,,,
A2-0100,Food,snack,užkandis,,ùžkandis,<-- from kirtis.info,N (gen.sg),užkandžio,rule (d→dž),,,
A2-0086,Home,key ring,raktų pakabukas,,rãktų pakabùkas,<-- from kirtis.info,N (gen.sg),raktų pakabuko,rule,,,
A2-0087,Home,wallet,piniginė,,pinigìnė,<-- from kirtis.info,N (gen.sg),piniginės,rule,,,
A2-0095,Location,newspaper stand,kioskas,,kiòskas,<-- from kirtis.info,N (gen.sg),kiosko,rule,,,
A2-0085,Location,ticket office,kasa,,kasà,,N (gen.sg),kasos,rule,,,
A2-0049,Numbers,eight,aštuoni,,aštuonì,,NUM (—),,numerals decline irregularly — skip unless you want it,,"the numeral for ""eight""",
A2-0059,Numbers,eighteen,aštuoniolika,,aštuoniólika,,NUM (—),,numerals decline irregularly — skip unless you want it,,"the numeral for ""eighteen""",
A2-0067,Numbers,eighty,aštuoniasdešimt,,aštúoniasdešimt,<-- from kirtis.info,NUM (—),,numerals decline irregularly — skip unless you want it,,"the numeral for ""eighty""",
A2-0052,Numbers,eleven,vienuolika,,vienúolika,,NUM (—),,numerals decline irregularly — skip unless you want it,,"the numeral for ""eleven""",
A2-0056,Numbers,fifteen,penkiolika,,penkiólika,,NUM (—),,numerals decline irregularly — skip unless you want it,,"the numeral for ""fifteen""",
A2-0076,Numbers,fifth,penktas,,peñktas,,A (feminine),penkta,rule,,,
A2-0064,Numbers,fifty,penkiasdešimt,,peñkiasdešimt,<-- from kirtis.info,NUM (—),,numerals decline irregularly — skip unless you want it,,"the numeral for ""fifty""",
A2-0072,Numbers,first,pirmas,,pìrmas,,A (feminine),pirma,rule,,,
A2-0046,Numbers,five,penki,,penkì,,NUM (—),,numerals decline irregularly — skip unless you want it,,"the numeral for ""five""",
A2-0063,Numbers,forty,keturiasdešimt,,kẽturiasdešimt,,NUM (—),,numerals decline irregularly — skip unless you want it,,"the numeral for ""forty""",
A2-0045,Numbers,four,keturi,,keturì,,NUM (—),,numerals decline irregularly — skip unless you want it,,"the numeral for ""four""",
A2-0055,Numbers,fourteen,keturiolika,,keturiólika,,NUM (—),,numerals decline irregularly — skip unless you want it,,"the numeral for ""fourteen""",
A2-0075,Numbers,fourth,ketvirtas,,ketvir̃tas,,A (feminine),ketvirta,rule,,,
A2-0069,Numbers,hundred,šimtas,,šim̃tas,,NUM (—),,numerals decline irregularly — skip unless you want it,,"the numeral for ""hundred""",
A2-0077,Numbers,last,paskutinis,,paskutìnis,,A (feminine),paskutinė,rule,,,
A2-0071,Numbers,million,milijonas,,milijõnas,,NUM (—),,numerals decline irregularly — skip unless you want it,,"the numeral for ""million""",
A2-0050,Numbers,nine,devyni,,devynì,,NUM (—),,numerals decline irregularly — skip unless you want it,,"the numeral for ""nine""",
A2-0060,Numbers,nineteen,devyniolika,,devyniólika,,NUM (—),,numerals decline irregularly — skip unless you want it,,"the numeral for ""nineteen""",
A2-0068,Numbers,ninety,devyniasdešimt,,devýniasdešimt,,NUM (—),,numerals decline irregularly — skip unless you want it,,"the numeral for ""ninety""",
A2-0042,Numbers,one,vienas,,víenas,,NUM (—),,numerals decline irregularly — skip unless you want it,,"the numeral for ""one""",
A2-0073,Numbers,second (2nd),antras,,añtras,,A (feminine),antra,rule,,,
A2-0048,Numbers,seven,septyni,,septynì,,NUM (—),,numerals decline irregularly — skip unless you want it,,"the numeral for ""seven""",
A2-0058,Numbers,seventeen,septyniolika,,septyniólika,,NUM (—),,numerals decline irregularly — skip unless you want it,,"the numeral for ""seventeen""",
A2-0066,Numbers,seventy,septyniasdešimt,,septýniasdešimt,,NUM (—),,numerals decline irregularly — skip unless you want it,,"the numeral for ""seventy""",
A2-0047,Numbers,six,šeši,,šešì,,NUM (—),,numerals decline irregularly — skip unless you want it,,"the numeral for ""six""",
A2-0057,Numbers,sixteen,šešiolika,,šešiólika,,NUM (—),,numerals decline irregularly — skip unless you want it,,"the numeral for ""sixteen""",
A2-0065,Numbers,sixty,šešiasdešimt,,šẽšiasdešimt,<-- from kirtis.info,NUM (—),,numerals decline irregularly — skip unless you want it,,"the numeral for ""sixty""",
A2-0051,Numbers,ten,dešimt,,dẽšimt,,NUM (—),,numerals decline irregularly — skip unless you want it,,"the numeral for ""ten""",
A2-0074,Numbers,third,trečias,,trẽčias,,A (feminine),trečia,rule,,,
A2-0054,Numbers,thirteen,trylika,,trýlika,,NUM (—),,numerals decline irregularly — skip unless you want it,,"the numeral for ""thirteen""",
A2-0062,Numbers,thirty,trisdešimt,,trìsdešimt ,<-- from kirtis.info,NUM (—),,numerals decline irregularly — skip unless you want it,,"the numeral for ""thirty""",
A2-0070,Numbers,thousand,tūkstantis,,tū́kstantis,,NUM (—),,numerals decline irregularly — skip unless you want it,,"the numeral for ""thousand""",
A2-0044,Numbers,three,trys,,trỹs,,NUM (—),,numerals decline irregularly — skip unless you want it,,"the numeral for ""three""",
A2-0053,Numbers,twelve,dvylika,,dvýlika,,NUM (—),,numerals decline irregularly — skip unless you want it,,"the numeral for ""twelve""",
A2-0061,Numbers,twenty,dvidešimt,,dvìdešimt,,NUM (—),,numerals decline irregularly — skip unless you want it,,"the numeral for ""twenty""",
A2-0043,Numbers,two,du,,dù,,NUM (—),,numerals decline irregularly — skip unless you want it,,"the numeral for ""two""",
A2-0041,Numbers,zero,nulis,,nùlis,,NUM (—),,numerals decline irregularly — skip unless you want it,,"the numeral for ""zero""",
A2-0080,People,age,amžius,,ámžius,,N (gen.sg),amžiaus,rule,,,
A2-0078,People,name,vardas,,var̃das,,N (gen.sg),vardo,rule,,,
A2-0079,People,surname,pavardė,,pavardė̃,,N (gen.sg),pavardės,rule,,,
A2-0084,Society,address,adresas,,ãdresas,,N (gen.sg),adreso,rule,,,
A2-0107,Society,change (money),grąža,,grąžà,,N (gen.sg),grąžos,rule,,,
A2-0105,Society,discount,nuolaida,,núolaida,,N (gen.sg),nuolaidos,rule,,,
A2-0090,Society,passport,pasas,,pãsas,,N (gen.sg),paso,rule,,,
A2-0093,Society,postcard,atvirukas,,atvirùkas,<-- from kirtis.info,N (gen.sg),atviruko,rule,,,
A2-0096,Society,queue,eilė,,eilė̃,,N (gen.sg),eilės,rule,,,
A2-0104,Society,receipt,kvitas,,kvìtas,,N (gen.sg),kvito,rule,,,
A2-0106,Society,size,dydis,,dỹdis,,N (gen.sg),dydžio,rule (d→dž),,,
A2-0094,Society,stamp,pašto ženklas,,pãšto žénklas,<-- from kirtis.info,N (gen.sg),pašto ženklo,rule,,,
A2-0028,Time,April,balandis,,balañdis,,N (gen.sg),balandžio,rule (d→dž),,"""April"" on the calendar header",
A2-0032,Time,August,rugpjūtis,,rugpjū́tis,,N (gen.sg),rugpjūčio,rule (t→č),,"""August"" on the calendar header",
A2-0036,Time,December,gruodis,,grúodis,,N (gen.sg),gruodžio,rule (d→dž),,"""December"" on the calendar header",
A2-0026,Time,February,vasaris,,vasãris,,N (gen.sg),vasario,"rule — but i-stem nouns take -ies, CHECK",,"""February"" on the calendar header",
A2-0022,Time,Friday,penktadienis,,penktãdienis,,N (gen.sg),penktadienio,"rule — but i-stem nouns take -ies, CHECK",,"""Friday"" on the calendar page",
A2-0025,Time,January,sausis,,saũsis,,N (gen.sg),sausio,"rule — but i-stem nouns take -ies, CHECK",,"""January"" on the calendar header",
A2-0031,Time,July,liepa,,líepa,,N (gen.sg),liepos,rule,,"""July"" on the calendar header",
